customer_id,province,municipality,customer_type,property_type,service_type,billing_date,billing_amount,payment_amount,payment_method,payment_status,outstanding_balance,days_overdue
CUST009376,Limpopo,Municipality_C,Residential,Apartment,Water,2024-01-01,839.47,625.5,Card,Partial,213.97,13
CUST009377,Limpopo,Municipality_C,Residential,Apartment,Property Rates,2024-02-01,1342.1,389.58,Card,Partial,952.52,58
CUST009378,Gauteng,Municipality_B,Residential,Apartment,Electricity,2024-03-01,835.26,835.26,EFT,Paid,0,0
CUST009379,KwaZulu-Natal,Municipality_H,Residential,Apartment,Water,2024-04-01,964,0,None,Unpaid,964,265
CUST009380,Limpopo,Municipality_D,Residential,House,Electricity,2024-05-01,1112.43,1112.43,Cash,Paid,0,0
CUST009381,Limpopo,Municipality_D,Residential,House,Electricity,2024-06-01,1446.16,1446.16,Cash,Paid,0,0
CUST009382,Limpopo,Municipality_D,Residential,House,Electricity,2024-07-01,980.67,980.67,EFT,Paid,0,0
CUST009383,Limpopo,Municipality_C,Residential,Apartment,Water,2024-08-01,563.61,563.61,EFT,Paid,0,0
CUST009384,Gauteng,Municipality_B,Business,Apartment,Electricity,2024-09-01,4441.8,0,None,Unpaid,4441.8,211
CUST009385,Gauteng,Municipality_A,Residential,House,Water,2024-10-01,812.38,812.38,Card,Paid,0,0
CUST009386,Limpopo,Municipality_C,Residential,House,Water,2024-11-01,568.52,568.52,EFT,Paid,0,0
CUST009387,Limpopo,Municipality_D,Residential,House,Waste,2024-12-01,295.48,295.48,EFT,Paid,0,0
CUST009388,Gauteng,Municipality_A,Business,House,Water,2025-01-01,2300.29,778.57,Card,Partial,1521.72,89
CUST009389,Gauteng,Municipality_A,Residential,House,Water,2025-02-01,966.78,966.78,EFT,Paid,0,0
CUST009390,Limpopo,Municipality_D,Residential,House,Property Rates,2025-03-01,864.71,864.71,EFT,Paid,0,0
CUST009391,Limpopo,Municipality_D,Residential,Apartment,Waste,2025-04-01,434.73,434.73,Card,Paid,0,0
CUST009392,Limpopo,Municipality_D,Residential,House,Electricity,2025-05-01,1067.88,523.33,Card,Partial,544.55,52
CUST009393,Gauteng,Municipality_B,Business,House,Water,2025-06-01,2340.46,2340.46,Card,Paid,0,0
CUST009394,Mpumalanga,Municipality_E,Residential,House,Electricity,2025-07-01,1278.49,627.53,Cash,Partial,650.96,87
CUST009395,Mpumalanga,Municipality_E,Residential,Apartment,Water,2025-08-01,819.69,819.69,EFT,Paid,0,0
CUST009396,Gauteng,Municipality_A,Business,House,Water,2025-09-01,2434.54,2434.54,Card,Paid,0,0
CUST009397,Gauteng,Municipality_B,Residential,House,Electricity,2025-10-01,1033.79,1033.79,EFT,Paid,0,0
CUST009398,Gauteng,Municipality_B,Residential,House,Waste,2025-11-01,324.39,78.32,EFT,Partial,246.07,76
CUST009399,Mpumalanga,Municipality_E,Residential,House,Water,2025-12-01,581.95,581.95,Card,Paid,0,0
CUST009400,Gauteng,Municipality_A,Residential,House,Waste,2024-01-01,251.04,93.74,Card,Partial,157.3,9
CUST009401,Mpumalanga,Municipality_E,Business,House,Waste,2024-02-01,1741.69,1741.69,EFT,Paid,0,0
CUST009402,Limpopo,Municipality_C,Business,House,Electricity,2024-03-01,4660.47,1922.18,Card,Partial,2738.29,44
CUST009403,Gauteng,Municipality_A,Business,Apartment,Electricity,2024-04-01,4958.31,4958.31,EFT,Paid,0,0
CUST009404,Gauteng,Municipality_A,Residential,Apartment,Water,2024-05-01,811.54,469.86,Cash,Partial,341.68,11
CUST009405,Gauteng,Municipality_A,Residential,Commercial,Water,2024-06-01,873.5,873.5,Card,Paid,0,0
CUST009406,Mpumalanga,Municipality_F,Residential,Apartment,Water,2024-07-01,559.41,260.77,EFT,Partial,298.64,83
CUST009407,Limpopo,Municipality_D,Residential,House,Water,2024-08-01,522.92,522.92,Card,Paid,0,0
CUST009408,KwaZulu-Natal,Municipality_H,Residential,House,Water,2024-09-01,851.12,851.12,Card,Paid,0,0
CUST009409,Gauteng,Municipality_B,Business,House,Water,2024-10-01,1800.69,1800.69,EFT,Paid,0,0
CUST009410,Limpopo,Municipality_C,Residential,House,Water,2024-11-01,518.98,518.98,EFT,Paid,0,0
CUST009411,Mpumalanga,Municipality_F,Residential,Apartment,Electricity,2024-12-01,1523.88,1523.88,EFT,Paid,0,0
CUST009412,Mpumalanga,Municipality_E,Residential,House,Electricity,2025-01-01,1155.86,1155.86,EFT,Paid,0,0
CUST009413,Limpopo,Municipality_C,Residential,House,Electricity,2025-02-01,1379.18,302.22,Card,Partial,1076.96,53
